Model,Down Payment Percentage,Down Payment Amount,Loan Amount,12 Months,24 Months,36 Months,48 Months,60 Months,72 Months,84 Months
HR-V-1498CC,10%,"$4,890.00 ","$44,010.00 ","$3,869.18 ","$2,030.84 ","$1,420.08 ","$1,116.21 ",$935.08 ,$815.32 ,$730.62 
HR-V-1498CC,20%,"$9,780.00 ","$39,120.00 ","$3,430.18 ","$1,796.17 ","$1,253.13 ",$982.82 ,$821.59 ,$714.91 ,$639.38 
HR-V-1498CC,30%,"$14,670.00 ","$34,230.00 ","$3,001.41 ","$1,571.65 ","$1,096.49 ",$859.96 ,$718.89 ,$625.54 ,$559.45 
HR-V-1498CC,40%,"$19,560.00 ","$29,340.00 ","$2,572.63 ","$1,347.13 ",$939.85 ,$737.11 ,$616.19 ,$536.18 ,$479.53 
HR-V-1498CC,50%,"$24,450.00 ","$24,450.00 ","$2,135.36 ","$1,114.19 ",$774.66 ,$605.54 ,$504.58 ,$437.70 ,$390.28 
CIVIC-1498CC,10%,"$4,790.00 ","$43,110.00 ","$3,790.05 ","$1,989.31 ","$1,391.04 ","$1,093.38 ",$915.96 ,$798.65 ,$715.68 
CIVIC-1498CC,20%,"$9,580.00 ","$38,320.00 ","$3,360.03 ","$1,759.44 ","$1,227.50 ",$962.72 ,$804.79 ,$700.29 ,$626.30 
CIVIC-1498CC,30%,"$14,370.00 ","$33,530.00 ","$2,940.03 ","$1,539.51 ","$1,074.06 ",$842.38 ,$704.19 ,$612.75 ,$548.01 
CIVIC-1498CC,40%,"$19,160.00 ","$28,740.00 ","$2,520.02 ","$1,319.58 ",$920.63 ,$722.04 ,$603.59 ,$525.21 ,$469.73 
CIVIC-1498CC,50%,"$23,950.00 ","$23,950.00 ","$2,091.69 ","$1,091.40 ",$758.82 ,$593.16 ,$494.26 ,$428.75 ,$382.30 
CR-V-1997CC,10%,"$4,990.00 ","$44,910.00 ","$3,948.30 ","$2,072.37 ","$1,449.12 ","$1,139.03 ",$954.20 ,$832.00 ,$745.56 
CR-V-1997CC,20%,"$9,980.00 ","$39,920.00 ","$3,500.33 ","$1,832.91 ","$1,278.76 ","$1,002.92 ",$838.39 ,$729.53 ,$652.45 
CR-V-1997CC,30%,"$14,970.00 ","$34,930.00 ","$3,062.79 ","$1,603.79 ","$1,118.91 ",$877.55 ,$733.60 ,$638.33 ,$570.90 
CR-V-1997CC,40%,"$19,960.00 ","$29,940.00 ","$2,625.24 ","$1,374.68 ",$959.07 ,$752.19 ,$628.80 ,$547.14 ,$489.34 
CR-V-1997CC,50%,"$24,950.00 ","$24,950.00 ","$2,179.02 ","$1,136.97 ",$790.50 ,$617.92 ,$514.90 ,$446.65 ,$398.26 
CITY-1498CC,10%,"$3,450.00 ","$31,050.00 ","$2,729.79 ","$1,432.80 ","$1,001.90 ",$787.51 ,$659.72 ,$575.23 ,$515.47 
CITY-1498CC,20%,"$6,900.00 ","$27,600.00 ","$2,420.06 ","$1,267.24 ",$884.11 ,$693.40 ,$579.65 ,$504.38 ,$451.09 
CITY-1498CC,30%,"$10,350.00 ","$24,150.00 ","$2,117.56 ","$1,108.84 ",$773.60 ,$606.72 ,$507.19 ,$441.33 ,$394.71 
CITY-1498CC,40%,"$13,800.00 ","$20,700.00 ","$1,815.05 ",$950.43 ,$663.08 ,$520.05 ,$434.74 ,$378.29 ,$338.32 
CITY-1498CC,50%,"$17,250.00 ","$17,250.00 ","$1,506.54 ",$786.08 ,$546.54 ,$427.22 ,$355.99 ,$308.80 ,$275.35 
